name,base_speed
ボルトロス（化身）,111
ランドロス（化身）,91
レシラム,90
ゼクロム,90
キュレム,95
ケルディオ,108
メロエッタ（ボイス）,90
メロエッタ（ステップ）,128
ゲノセクト,99
ブリガロン,60
マフォクシー,104
ゲッコウガ,122
ビビヨン,89
ファイアロー,126
フラージェス,75
ゴーゴート,68
ニンフィア,60
ルチャブル,118
デデンネ,101
クレベース,28
オンバーン,123
ギルガルド（ブレード）,60
ヌメルゴン,80
パンプジン（特大）,41
パンプジン（大）,51
パンプジン（小）,84
パンプジン（中）,69
カエンジシ,106
ブロスター,59
ドラミドロ,44
ガチゴラス,71
アマルルガ,58
ボーマンダ（メガ）,120
メガガルーラ,100
ディアンシー（通常）,50
ディアンシー（メガ）,110
ゼルネアス,99
イベルタル,99
ジガルデ（50%）,95
ジュナイパー,70
ガオガエン,60
アシレーヌ,60
ドデカバシ,60
オドリドリ（全4型）,93
アブリボン,124
シロデスナ,35
オニシズクモ,42
アマージョ,72
キテルグマ,60
シルヴァディ,95
ジャラランガ,85
カプ・コケコ,130
カプ・テテフ,95
カプ・ブルル,75
カプ・レヒレ,85
ソルガレオ,77
ルナアーラ,97
ネクロズマ（通常）,79
ネクロズマ（黄昏/暁）,77
マギアナ,65
マーシャドー,125
ツンデツンデ,13
ズガドーン,107
ベベノム→アーゴヨン,121
ゴリランダー,85
エースバーン,119
インテレオン,120
アーマーガア,67
カジリガメ,74
セキタンザン,30
アップリュー,70
タルップル,30
サダイジャ,71
ウッウ,75
ネギガナイト,65
バリコオル,105
ブリムオン,29
オーロンゲ,60
マホイップ,64
タイレーツ,75
バチンウニ,15
ストリンダー（ハイ）,75
ストリンダー（ロー）,75
デスバーン,30
ポットデス,70
イエッサン♂,75
イエッサン♀,95
モスノウ,65
オトスパス,42
ドラパルト,142
ジュラルドン,85
ザシアン（英雄）,138
ザマゼンタ（英雄）,138
ムゲンダイナ,130
マスカーニャ,123
ラウドボーン,66
ウェーニバル,85
パーモット,105
パフュートン♂,65
パフュートン♀,65
ウミトリオ,120
グレンアルマ,75
ソウブレイズ,75
ドオー,35
リククラゲ,100
ミミズズ,65
キョジオーン,35
カラミンゴ,82
シャリタツ,85
セグレイブ,87
ハバタクカミ,135
チオンジェン,70
パオジアン,135
ディンルー,45
イーユイ,135
コライドン,135
ミライドン,135
